Id,Label
0,810101010
1,317310
2,408310
3,10101010
4,463810
5,10101010
6,6921010
7,37101010
8,18207
9,866010
10,6261010
11,110101010
12,649310
13,4101010
14,619510
15,210101010
16,85710
17,780410
18,83679
19,4291010
20,6961010
21,8931010
22,34836
23,24101010
24,693210
25,60101010
26,2851010
27,733510
28,510101010
29,10101010
30,39910
31,810101010
32,8171010
33,373610
34,22101010
35,5111010
36,810101010
37,17764
38,810101010
39,72033
40,3261010
41,64688
42,48282
43,511010
44,6161010
45,8961010
46,876010
47,740110
48,8571010
49,9101010
50,810101010
51,8841010
52,5881010
53,84644
54,10101010
55,70990
56,9051010
57,29101010
58,93802
59,610101010
60,881410
61,3031010
62,17168
63,21101010
64,810101010
65,6061010
66,353310
67,47632
68,93101010
69,85101010
70,52296
71,621210
72,663710
73,69101010
74,810101010
75,93101010
76,710101010
77,18101010
78,61236
79,4111010
80,3269
81,263810
82,59726
83,380610
84,61101010
85,68282
86,11101010
87,862810
88,210101010
89,2181010
90,7491010
91,510101010
92,810101010
93,39796
94,83458
95,810101010
96,37783
97,15101010
98,1831010
99,50101010
100,27562
101,2201010
102,33101010
103,387310
104,3841010
105,686610
106,2431010
107,821010
108,685310
109,80796
110,266610
111,50101010
112,3081
113,10101010
114,910101010
115,810101010
116,8831010
117,31101010
118,210101010
119,511310
120,210101010
121,870910
122,81211
123,589310
124,820810
125,68101010
126,7101010
127,510101010
128,7171010
129,61101010
130,487310
131,43101010
132,26101010
133,36210
134,83217
135,410101010
136,68101010
137,806810
138,87101010
139,210101010
140,833710
141,5541010
142,6881010
143,72320
144,34715
145,26101010
146,8101010
147,83996
148,44303
149,56603
150,89101010
151,372310
152,610101010
153,8671010
154,81312
155,7961010
156,3861010
157,310101010
158,43527
159,610101010
160,693510
161,73773
162,23296
163,25226
164,7641010
165,621510
166,3621010
167,71101010
168,644710
169,873210
170,610101010
171,988010
172,788910
173,64689
174,232710
175,110101010
176,810101010
177,25475
178,37388
179,310101010
180,62333
181,10101010
182,410101010
183,7341010
184,3871010
185,42575
186,37934
187,82101010
188,60101010
189,136310
190,443510
191,9051010
192,868710
193,98376
194,60881
195,3041010
196,666710
197,8431010
198,110101010
199,88834
200,3321010
201,99103
202,68101010
203,7831010
204,25101010
205,815010
206,61101010
207,78331
208,110101010
209,86154
210,213710
211,883410
212,86443
213,13001
214,8581010
215,589810
216,517710
217,71342
218,18370
219,110810
220,3101010
221,28130
222,78101010
223,88376
224,102810
225,87814
226,8781010
227,26796
228,65101010
229,65101010
230,10101010
231,5161010
232,88139
233,9121010
234,5641010
235,918410
236,35101010
237,61208
238,268210
239,310101010
240,993310
241,810101010
242,29935
243,86366
244,73101010
245,37101010
246,73101010
247,10101010
248,73386
249,68307
250,423810
251,71101010
252,30101010
253,636710
254,640810
255,49101010
256,72101010
257,810101010
258,410101010
259,63101010
260,836410
261,610101010
262,8541010
263,37373
264,88218
265,610101010
266,633310
267,85101010
268,44875
269,8891010
270,835310
271,5021010
272,10101010
273,810101010
274,8611010
275,93477
276,33036
277,5821010
278,256810
279,310101010
280,27101010
281,821110
282,519410
283,666210
284,717510
285,654110
286,810101010
287,410101010
288,810101010
289,310101010
290,6791010
291,86101010
292,337310
293,663910
294,310101010
295,8381010
296,7261010
297,210101010
298,6938
299,3171010
300,50101010
301,204510
302,81760
303,8271010
304,68438
305,200710
306,88889
307,9831010
308,8121010
309,58101010
310,8571010
311,387310
312,510101010
313,6441010
314,810101010
315,510101010
316,33160
317,29101010
318,73910
319,4821010
320,3821010
321,310101010
322,862110
323,2471010
324,310101010
325,37101010
326,8391010
327,110101010
328,2071010
329,110101010
330,88101010
331,83047
332,610101010
333,84101010
334,622110
335,810101010
336,81654
337,8631010
338,6601010
339,55250
340,80384
341,838810
342,3881010
343,110101010
344,87056
345,337310
346,720310
347,848410
348,73101010
349,74101010
350,38643
351,87101010
352,133310
353,87101010
354,355410
355,310101010
356,5611010
357,633610
358,2341010
359,46101010
